workerId,postId,experimentID,taskID,clicks,time,clickorder,clicktime,scenarioTime,why,honestly
"workerId","postId","experimentID","taskID","_clicks_walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM_walkthrough_prime","_time_walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM_walkthrough_prime","_clickorder_walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM_walkthrough_prime","_clicktime_walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM_walkthrough_prime","_scenariotime_walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM_walkthrough_prime","_why_walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM_walkthrough_prime","_honestly_walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM_walkthrough_prime"
"A33PDF03E6TRU0","il9dtdir","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","72461","b4,b5a,b3","61790,64956,72461","72461","why:","honestly:"
"A2S421V2HMNHQQ","il934v0i","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","206969","b4,b5a,b3","192481,198301,206969","206968","why:","honestly:"
"AYOLVUJBAIR0M","il96mm35","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","153462","b4,b5a,b3","105674,139814,153462","153462","why:","honestly:"
" A264067K4VJPMA","il90lo03","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","153827","b4,b5a,b3","131176,139330,153827","153827","why:","honestly:"
"AFHYKBNXB3FQ2","il8zruxg","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","26923","b4,b5a,b3","22747,24146,26923","26922","why:","honestly:"
"A1HBIE5LRTQK1L","il96p3v0","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","134525","b4,b5a,b3","116389,124765,134525","134525","why:","honestly:"
"A1ESCPVSM3GQ95","il8zq6b0","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","82519","b4,b5a,b3","64028,79189,82519","82519","why:","honestly:"
"A3G2JDGJCXCWVD","il8zq3zt","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","199591","b4,b5a,b3","147905,164896,199591","199591","why:","honestly:"
"A2AMI7BVALOCJP","il90xl7q","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","53346","b4,b5a,b3","33331,44768,53345","53346","why:","honestly:"
"A1FBBY2JJYRMRI","il8zr08f","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","117569","b4,b5a,b3","92778,109641,117569","117568","why:","honestly:"
"A2T893QOA0QILP","il90pwag","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","142359","b4,b5a,b3","118320,134165,142359","142358","why:","honestly:"
"A3EHI7J2E5DSJK","il92619b","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","378957","b4,b5a,b3","367565,375822,378957","378957","why:","honestly:"
"A98XHW6B1VSSQ","il90nt87","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","174322","b4,b5a,b3","143589,159424,174322","174322","why:","honestly:"
"A1DS5O8MSI3ZH0","il9e200f","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","640673","b4,b5a,b3","593505,634416,640673","640674","why:","honestly:"
"AOIR8V07FYMH5","il918lxd","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","115127","b4,b5a,b3","84457,98991,115127","115127","why:","honestly:"
"A3MPHGI584PR1U","il92qmqv","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","176413","b4,b5a,b3","150636,158907,176412","176414","why:","honestly:"
"A1P1AU0ZG7I6P5","il90l06s","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","50362","b4,b5a,b3","35549,44837,50362","50362","why:","honestly:"
"A33CFLCMJNHHNC","il90mukm","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","285787","b4,b5a,b3","270791,279791,285787","285786","why:","honestly:"
"A16N0O4K5DGOL6","il8zvign","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","83642","b4,b5a,b3","71910,80716,83642","83642","why:","honestly:"
"AZLBLEDRP6UYM","il90bfb0","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","46394","b4,b5a,b3","37066,39566,46394","46394","why:","honestly:"
"A3TPW4JUUJDUFI","il8zwyjp","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","29737","b4,b5a,b3","14056,20783,29737","29736","why:","honestly:"
"A3NH3VJF04DBJX","il9052q8","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","48041","b4,b5a,b3","39482,44258,48041","48041","why:","honestly:"
"A3OYUJ6E6BJS4H","il8znyt9","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","238107","b4,b5a,b3","198224,218717,238107","238107","why:","honestly:"
"A3IVMLE5FNMO6B","il90xw52","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","55157","b4,b5a,b3","44144,50865,55157","55157","why:","honestly:"
"A1TPGQAHLMY6UK","il9164ah","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","609841","b4,b5a,b3","552771,601836,609841","609841","why:","honestly:"
"A39RGARQZH9C9J","il980zyb","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","363296","b4,b5a,b3","341623,350804,363296","363296","why:","honestly:"
"A21FSF2MCK11IR","il8zqhbq","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","47723","b4,b5a,b3","32337,41178,47723","47723","why:","honestly:"
"A27BUT19WQ6P1O","il8zpdkv","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","87517","b4,b5a,b3","73292,80365,87517","87517","why:","honestly:"
"A2NWIKWCQ65ZP4","il93hi2a","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","90844","b4,b5a,b3","81300,85546,90844","90843","why:","honestly:"
"ACRKDBKAS8GM1","il9e71mq","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","279391","b4,b5a,b3","202750,270672,279390","279390","why:","honestly:"
"A1L8EDNM7HZZAX","il9cycpx","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","1245705","b4,b5a,b3","1231877,1239318,1245705","1245706","why:","honestly:"
"A35W13N45CZB1O","il9bwd9r","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","136959","b4,b5a,b3","111856,127151,136959","136958","why:","honestly:"
"A9D12ELJ4WMBJ","il905ile","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","86737","b4,b5a,b3","69670,83311,86737","86738","why:","honestly:"
"A16WTL2DOIQ5SV","il8zv98g","walkthrough_prime,teach_prime,BRC,ORC,BOM,OOM","walkthrough_prime","3","90510","b4,b5a,b3","81049,86465,90510","90511","why:","honestly:"
