workerId,postId,experimentID,taskID,clicks,time,clickorder,clicktime,scenarioTime,why,honestly
"workerId","postId","experimentID","taskID","_clicks_walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC_walkthrough_prime","_time_walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC_walkthrough_prime","_clickorder_walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC_walkthrough_prime","_clicktime_walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC_walkthrough_prime","_scenariotime_walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC_walkthrough_prime","_why_walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC_walkthrough_prime","_honestly_walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC_walkthrough_prime"
"A3083883A6RJES","ilsqol4k","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","139349","b4,b5a,b3","125723,133858,139348","139348","why:","honestly:"
"A2MQC8KZ8DOON1","ilsoxb29","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","32142","b4,b5a,b3","24942,29419,32142","32142","why:","honestly:"
"A3DGO2O513UJMO","ilsr13qc","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","41446","b4,b5a,b3","29569,37030,41446","41446","why:","honestly:"
"A6ORRFI3XOACA","ilsp2gjk","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","191973","b4,b5a,b3","129336,155674,191973","191974","why:","honestly:"
"A1JNC3HWWHJD2J","ilsp65xj","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","147702","b4,b5a,b3","126251,136589,147702","147702","why:","honestly:"
"A3PA0L5IE62V4C","ilstk1rp","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","87989","b4,b5a,b3","68628,83299,87988","87988","why:","honestly:"
"AMQK5FIDUG4QO","ilt0mvma","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","68452","b4,b5a,b3","57070,65468,68452","68451","why:","honestly:"
"A3MWSVO26MJI82","ilsocl0n","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","153294","b4,b5a,b3","126620,142962,153293","153292","why:","honestly:"
"A1JL8N1PWIFDH2","ilt4akkl","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","80055","b4,b5a,b3","69619,75803,80055","80054","why:","honestly:"
"A3KHKFLJZN00QI","ilssdbq5","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","27973","b4,b5a,b3","21133,25545,27973","27972","why:","honestly:"
"A3KHOW5FW32RUL","ilsp5gzh","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","184535","b4,b5a,b3","160384,174890,184535","184534","why:","honestly:"
"A2QTP92PCZUGI2","ilsomiul","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","90147","b4,b5a,b3","79937,86792,90147","90147","why:","honestly:"
"A2K1QVO3F9M9Z9","ilso9ukx","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","86634","b4,b5a,b3","76942,84215,86634","86634","why:","honestly:"
"A3774HPOUKYTX7","ilsof3x1","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","26838","b4,b5a,b3","18908,24134,26838","26838","why:","honestly:"
"A61GHYNS1DFT7","ilsp6n3d","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","316647","b4,b5a,b3","305408,313551,316647","316646","why:","honestly:"
"A3UV55HC87DO9C","ilsqpcue","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","42284","b4,b5a,b3","32321,38101,42284","42285","why:","honestly:"
"A1SEQOG02JOFVS","ilsuuzi2","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","70798","b4,b5a,b3","60632,66192,70798","70797","why:","honestly:"
"A2CVC5F08BKDEI","ilsu7zy6","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","50144","b4,b5a,b3","40330,47563,50144","50143","why:","honestly:"
"A28FA9S6Y1M1I7","ilsp4b28","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","24385","b4,b5a,b3","14662,22538,24385","24386","why:","honestly:"
"A2HJJKWNN7HZRR","ilss89g6","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","229579","b4,b5a,b3","194279,209182,229579","229578","why:","honestly:"
"A2ZOFUJSX6RO46","ilsx4wj7","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","55814","b4,b5a,b3","36488,50906,55814","55813","why:","honestly:"
"A3F6SDO4GYBE4Y","ilsp4yff","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","44902","b4,b5a,b3","28923,38821,44902","44901","why:","honestly:"
"A3MEXVF979S444","ilspd471","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","147767","b4,b5a,b3","121163,140201,147767","147767","why:","honestly:"
"A3UNLVZ3F1EZBS","ilszgppo","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","232122","b4,b5a,b3","181609,216810,232122","232121","why:","honestly:"
"A9WIOFVRSYW3L","ilsoah0t","walkthrough_prime,teach_prime,BRM,ORM,BOC,OOC","walkthrough_prime","3","541792","b4,b5a,b3","515302,530437,541792","541791","why:","honestly:"
